Year,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN
16/06/2010,16.59,30.6,14.01,48,0.16,2.75,0.99
17/06/2010,14.12,28.25,14.13,59.38,3.45,3.28,1.32
18/06/2010,14.77,28.69,13.92,68.25,4.65,3.13,0.83
19/06/2010,14.72,29.26,14.54,64.81,4.34,4.77,0.72
20/06/2010,17.28,31.17,13.9,54.69,1.75,3.73,1.2
21/06/2010,16.85,30.36,13.51,53.88,0.09,2.79,0.41
22/06/2010,15.68,31.13,15.45,51.88,0.05,3.3,1.16
23/06/2010,16.52,31.18,14.65,51.81,0.32,2.83,0.4
24/06/2010,13.6,28.12,14.52,55.06,1.13,2.84,0.73
25/06/2010,14.8,29.52,14.71,59.88,6.7,3.55,0.11
26/06/2010,16.2,29.48,13.29,58,0.17,2.35,0.41
27/06/2010,9.47,24.8,15.33,69.31,5.69,2.38,0.3
28/06/2010,13.46,26.83,13.37,68.88,4.16,2.7,1.27
29/06/2010,9.97,25.06,15.09,74.5,8.65,3.6,1.38
30/06/2010,13.48,28.06,14.58,66.62,1.57,5.6,2.18
01/07/2010,6.74,21.44,14.69,80.5,34.47,6.39,3
02/07/2010,9.19,22.29,13.09,82.38,23.27,5.56,2.75
03/07/2010,16.27,26.5,10.23,65.56,0.66,4.44,2.38
04/07/2010,14,25.16,11.16,67.88,7.9,3.59,1.52
05/07/2010,8.55,22.35,13.8,80.75,5.83,3.67,0.91
06/07/2010,13.77,26.81,13.05,68.44,1.09,4.02,1.45
07/07/2010,12.86,25.59,12.73,79,12.39,3.6,1.41
08/07/2010,9.62,23.05,13.43,80.88,19.62,4.14,1.68
09/07/2010,11.2,25.25,14.05,75.12,3.8,4.99,0.61
10/07/2010,12.68,26.05,13.37,73.62,2.43,4.23,1.4
11/07/2010,13.3,26.57,13.26,72.19,2.38,2.66,1.58
12/07/2010,9.99,24.42,14.43,71.94,3.1,2.32,0.45
13/07/2010,12.48,28.18,15.7,67.12,3.91,3.23,0.2
14/07/2010,14.72,27.19,12.48,64.06,0.47,4.93,1.4
15/07/2010,17.3,29.41,12.12,64.88,4.88,4.71,1.27
16/07/2010,13.16,27.92,14.76,65.06,2.19,2.45,0.25
17/07/2010,11.7,26.27,14.57,68.12,4.72,2.64,0.16
18/07/2010,14.59,27.62,13.05,60.62,1.56,2.2,0.77
19/07/2010,13.44,27.64,14.2,58,0.54,2.6,1.2
20/07/2010,11.39,26.37,14.98,66.5,9.19,2.8,0.21
21/07/2010,13.24,27.65,14.4,67.44,5.05,2.84,0.63
22/07/2010,11.85,25.77,13.92,72.31,4.52,2.94,1.16
23/07/2010,11.84,25.51,13.67,71.94,3.84,3.79,1.29
24/07/2010,12.32,25.81,13.49,76.56,17.5,4.59,0.71
25/07/2010,6.59,21.23,14.65,82.56,18.57,3.55,1.02
26/07/2010,8.09,21.71,13.63,81.25,12.57,1.56,0.05
27/07/2010,10.87,24.36,13.5,78,16.47,1.7,0.2
28/07/2010,8.55,23.24,14.69,77.25,1.82,2.85,1.1
29/07/2010,13.03,24.99,11.97,78.94,4.53,4.16,1.64
30/07/2010,13.54,25.9,12.36,68.56,2.44,1.75,0.26
31/07/2010,14.62,27.15,12.54,65.06,1.85,3.98,0.64
01/08/2010,14.81,28.31,13.5,60,0.75,3.24,0.66
02/08/2010,15.09,29.26,14.17,54.25,0,3.71,0.97
03/08/2010,15.64,28.5,12.86,58.94,4.22,3.8,1.16
04/08/2010,12.72,26.67,13.95,67.31,5.37,3.42,1.46
05/08/2010,15.98,28.26,12.28,61.94,1.45,4.12,0.07
06/08/2010,12.88,27.33,14.44,65.06,2.78,1.92,0.21
07/08/2010,8.2,22.43,14.23,76.19,11.31,2.45,0.55
08/08/2010,14.34,27.41,13.08,63.56,3.62,2.12,0.69
09/08/2010,11.77,26.11,14.35,66.88,5.8,3.38,0.74
10/08/2010,9.13,24.46,15.33,76.5,13.25,3.72,0.66
11/08/2010,13.34,26.6,13.27,75.56,13.1,2.3,1.36
12/08/2010,12.48,26.15,13.68,71.81,2.78,2.71,1.56
13/08/2010,8.93,22.56,13.63,79.19,7.42,2.31,1.23
14/08/2010,8.59,22.67,14.08,84.31,7.82,4.03,1.28
15/08/2010,10.3,24.46,14.15,78.38,2.81,4.2,1.45
16/08/2010,14.98,26.89,11.9,68.69,2.26,5.25,1.34
17/08/2010,16.66,28.4,11.73,61.69,0.83,3.34,1.25
18/08/2010,11.62,26.37,14.75,70.94,13.37,3.73,1.3
19/08/2010,15.39,26.71,11.32,71.94,6.07,2.89,1.01
20/08/2010,15.71,27.42,11.71,68.69,4.87,3.54,1.36
21/08/2010,15.16,28.63,13.46,62.81,0.84,4.48,0.91
22/08/2010,16.15,28.18,12.03,61.62,0.1,4.77,2.02
23/08/2010,17.43,28.92,11.48,56.12,0.09,4.52,1.39
24/08/2010,17.23,29.65,12.41,50.25,0,4.91,1.11
25/08/2010,13.55,26.25,12.69,62.94,1.5,6.02,1.86
26/08/2010,10.84,23.7,12.86,73.31,2.63,4.27,1.73
27/08/2010,13.98,25.05,11.08,71.81,1.49,3.2,1.11
28/08/2010,11.68,25.54,13.86,75.94,1.14,1.94,0.95
29/08/2010,11.54,26.97,15.42,71.75,2.45,1.98,0.21
30/08/2010,15.01,28.73,13.72,64.94,6.21,3.31,1.05
31/08/2010,17.31,28.84,11.53,62.62,1.02,4.91,1.4
01/09/2010,16.94,27.37,10.44,63.38,7.01,4.65,1.47
02/09/2010,16.69,28.7,12.02,61.75,2.15,4.15,1.73
03/09/2010,14.11,27.48,13.37,69,11.88,5.15,1.65
04/09/2010,13.06,25.65,12.59,76,3.11,4.52,1.66
05/09/2010,12.62,24.22,11.59,77,3.78,2.72,1.4
06/09/2010,12.17,24.64,12.47,75.62,4.79,1.82,1.02
07/09/2010,7.59,20.9,13.3,85.31,5.66,3.05,1.45
08/09/2010,11.93,23.4,11.48,82.38,9.76,2.48,0.94
09/09/2010,7.04,20.72,13.68,87.88,8.61,2.58,1.33
10/09/2010,12.71,24.83,12.12,77.5,14.13,1.71,0.77
11/09/2010,11.45,25.11,13.66,70.38,7.13,2.24,0.12
12/09/2010,13.87,26.34,12.48,69.81,2.75,3.29,1.23
13/09/2010,15.62,27,11.38,66.62,1.17,4.37,0.98
14/09/2010,13.88,26.33,12.45,65.62,2.49,3.3,1.26
15/09/2010,12.46,25.98,13.51,67.19,2.4,2.49,0.98
16/09/2010,11.07,24.26,13.19,70.81,5.71,1.87,0.91
17/09/2010,12.75,26.72,13.98,66.62,0.74,3.27,1.22
18/09/2010,12.8,25.21,12.4,76.19,2.95,4.34,1.93
19/09/2010,9.13,22.76,13.62,83.44,10.75,4.21,1.52
20/09/2010,9.91,23.3,13.38,84.69,14.99,4.05,0.93
21/09/2010,4.7,18.62,13.93,89.81,11.24,2.4,0.88
22/09/2010,12.91,25.05,12.15,78.88,0.27,2.38,1.24
23/09/2010,12.45,25.62,13.17,73.31,1.72,2.11,0.23
24/09/2010,13.41,24.89,11.48,75.69,8.78,4.12,1.52
25/09/2010,13.48,24,10.52,79.38,14.97,3.41,1.4
26/09/2010,6.57,19.55,12.98,89.12,37.51,3.02,0.6
27/09/2010,5.84,19.23,13.4,86.12,23.24,1.82,0.34
28/09/2010,14.21,22.74,8.53,76.56,1.75,4.59,1.41
29/09/2010,19.24,24.64,5.4,58.31,0,4.27,2.19
30/09/2010,17.98,24.97,6.98,60.81,0,4.14,1.76
01/10/2010,17.59,24.24,6.66,59.69,0.09,4.4,1.58
02/10/2010,16.53,24.12,7.58,58.44,0.06,4.7,1.55
03/10/2010,15.03,22.8,7.77,68.31,0.21,4.49,1.85
04/10/2010,17.16,23.22,6.06,58.94,1.14,3.61,1.34
05/10/2010,17.28,23.1,5.81,58.19,0.73,3.62,1.15
06/10/2010,18.04,22.98,4.94,56.88,0.09,3.74,1.59
07/10/2010,17.78,22.96,5.19,63.62,0,3.2,1.41
08/10/2010,17.29,23.69,6.4,57.25,0,2.74,1.3
09/10/2010,17.93,24.05,6.12,55.31,0,3.09,1.28
10/10/2010,16.77,24.17,7.4,60.94,0.01,3.09,1.07
11/10/2010,14.45,24.12,9.66,72.81,0,3.05,0.65
12/10/2010,14.83,25.48,10.65,65.12,0.44,2.95,0.14
13/10/2010,8.03,19.26,11.23,73.25,0.34,4.16,2.04
14/10/2010,12.58,20.8,8.23,65.88,0.01,4.23,1.86
15/10/2010,16.6,23.3,6.7,59.56,0,2.04,0.72
16/10/2010,14.7,23.73,9.04,61.69,1.13,2.22,0.73
17/10/2010,14.64,22.87,8.23,64.5,0.01,3.27,0.67
18/10/2010,16.27,23.1,6.83,59.56,0,3.8,0.45
19/10/2010,16.21,22,5.79,59.81,0,3.74,1.62
20/10/2010,15.52,22.77,7.25,61.12,0,4.59,0.91
21/10/2010,15.06,23.3,8.23,65.31,0,5.3,1.41
22/10/2010,15.09,21.9,6.8,75.19,0,5.39,1.95
23/10/2010,16.89,21.93,5.04,66.56,0,4.55,1.47
24/10/2010,18.59,23.79,5.19,47.88,0,2.48,0.63
25/10/2010,15.86,23.52,7.66,50.5,0,4.55,0.89
26/10/2010,18.87,25.37,6.5,45.75,0,2.11,0.7
27/10/2010,17.41,25.41,8.01,53.06,0,2.7,0.03
28/10/2010,18.78,24.16,5.38,59.25,0,5.7,2.32
29/10/2010,16.12,23.28,7.16,66.12,0,3.97,1.89
30/10/2010,15.47,24.05,8.58,53.56,0,2.6,0.6
31/10/2010,17.25,24.1,6.86,46.25,0,3.07,1.62
01/11/2010,17.64,25,7.36,50.12,0,1.72,0.27
02/11/2010,15.19,21.82,6.63,57.69,0,4.66,0.73
03/11/2010,13.48,16.65,3.17,47.19,0,6.23,2.84
04/11/2010,14.58,15.15,0.58,48.19,0,7.88,2.61
05/11/2010,21.02,19.18,-1.85,45.56,0,3.74,2.19
06/11/2010,19.09,20.58,1.48,39.5,0,3.2,1.23
07/11/2010,17.99,20.57,2.58,39.25,0,2.95,0.98
08/11/2010,17.25,21.02,3.78,48,0,2.18,0.99
09/11/2010,16.2,20.53,4.33,67.69,0,2.43,1.21
10/11/2010,17.28,21.92,4.64,50.81,0,2.73,0.21
11/11/2010,16.35,21.3,4.94,46.81,0,3.43,1.02
12/11/2010,17.98,21.49,3.51,50.62,0,2.59,0.6
13/11/2010,19.03,21.05,2.03,62.56,0,3.85,1.48
14/11/2010,14.71,17.35,2.64,73.62,0,6.05,2.19
15/11/2010,12.77,17.08,4.31,73.12,0,6.45,1.78
16/11/2010,18.22,19.42,1.2,55.69,0,3.52,0.27
17/11/2010,18.22,22.15,3.94,44.5,0,3.62,0.27
18/11/2010,19.65,21.05,1.39,52.19,0,4.41,1.45
19/11/2010,16.25,21.17,4.92,59.25,0,3.84,0.71
20/11/2010,15.86,21.63,5.77,61.75,0,3.66,0.84
21/11/2010,15.8,21.68,5.87,59.56,0,4.35,1.48
22/11/2010,16.16,21.83,5.66,52.69,0,4.46,1.3
23/11/2010,14.77,22.29,7.52,40.19,0,3.6,0.8
24/11/2010,16.41,21.69,5.27,43.31,0,4.56,1.66
25/11/2010,17.01,19.77,2.76,52.94,0,5.67,1.69
26/11/2010,18.55,21.55,2.99,46.06,0,2.53,0.48
27/11/2010,19.3,20.58,1.28,59.06,0,4.86,0.97
28/11/2010,16.3,18.94,2.64,65.62,0,7.16,2.72
29/11/2010,16.34,18.74,2.4,75,0,7.21,1.3
30/11/2010,16.32,15.97,-0.36,53.31,0,5.03,0.44
01/12/2010,24.78,22.12,-2.66,45.81,0,2.79,0.77
02/12/2010,19.52,22.88,3.37,41.69,0,2.58,0.13
03/12/2010,20.2,22.9,2.7,33.31,0,2.41,0.04
04/12/2010,19.43,23.37,3.94,38.75,0,2.91,0.59
05/12/2010,20.12,21.86,1.73,35.62,0,2.71,1.57
06/12/2010,17.11,21.28,4.17,43.94,0,2.87,1.37
07/12/2010,18,22.89,4.89,47.56,0,2.64,1.08
08/12/2010,17.35,17.66,0.31,49.81,0,5.3,2.38
09/12/2010,23.62,21.61,-2.02,38.06,0,2.62,0.39
10/12/2010,18.4,22.3,3.9,43.25,0,2.45,0.23
11/12/2010,17.89,23.14,5.25,41.75,0,2.43,0.66
12/12/2010,19.2,21.66,2.45,45.06,0,3.34,1.45
13/12/2010,21.71,21.58,-0.13,44.75,0,2.01,0.23
14/12/2010,16.65,21.51,4.87,43.19,0,2.87,0.34
15/12/2010,17.62,20.33,2.7,47.38,0,3.79,1.47
16/12/2010,18.8,18.87,0.07,62.81,0.05,3.77,2
17/12/2010,18.25,18.13,-0.12,52.25,0.05,5.45,1.63
18/12/2010,18.35,21.18,2.83,34.25,0,1.59,0.14
19/12/2010,16.29,21.74,5.45,38.19,0,2.96,0.55
